timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741616284726,280,Patch Contact,200,OK,Stress Test 1-273,text,true,,1012,602,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a053c0aa001392fd38,280,0,0
1741616284729,406,Update Contact,200,OK,Stress Test 1-272,text,true,,1034,837,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a032eaf700137a50bb,406,0,0
1741616283938,1197,Add User,201,Created,Stress Test 1-274,text,true,,1278,336,3,3,https://thinking-tester-contact-list.herokuapp.com/users,1197,0,788
1741616285006,334,Delete Contact,200,OK,Stress Test 1-273,text,true,,756,603,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a053c0aa001392fd38,334,0,0
1741616285136,490,Patch Contact,200,OK,Stress Test 1-272,text,true,,1003,602,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a032eaf700137a50bb,490,0,0
1741616285136,490,Get User Profile,200,OK,Stress Test 1-274,text,true,,874,525,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,490,0,0
1741616285340,491,Add User,201,Created,Stress Test 1-273,text,true,,1278,501,3,3,https://thinking-tester-contact-list.herokuapp.com/users,491,0,0
1741616285627,316,Update User,200,OK,Stress Test 1-274,text,true,,889,632,4,4,https://thinking-tester-contact-list.herokuapp.com/users/me,316,0,0
1741616285627,316,Delete Contact,200,OK,Stress Test 1-272,text,true,,764,603,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a032eaf700137a50bb,316,0,0
1741616285831,283,Get User Profile,200,OK,Stress Test 1-273,text,true,,882,525,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,283,0,0
1741616285943,300,Add Contact,201,Created,Stress Test 1-274,text,true,,1015,809,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,300,0,0
1741616286140,296,Update User,200,OK,Stress Test 1-273,text,true,,889,632,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,296,0,0
1741616286244,280,Get Contacts,200,OK,Stress Test 1-274,text,true,,1012,525,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,280,0,0
1741616286436,293,Add Contact,201,Created,Stress Test 1-273,text,true,,1019,816,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,293,0,0
1741616286525,306,Update Contact,200,OK,Stress Test 1-274,text,true,,1040,836,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a232eaf700137a50c0,306,0,0
1741616286729,290,Get Contacts,200,OK,Stress Test 1-273,text,true,,1016,525,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,290,0,0
1741616285940,1207,Add User,201,Created,Stress Test 1-275,text,true,,1282,336,3,3,https://thinking-tester-contact-list.herokuapp.com/users,1207,0,838
1741616286832,327,Patch Contact,200,OK,Stress Test 1-274,text,true,,1009,602,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a232eaf700137a50c0,327,0,0
1741616287020,291,Update Contact,200,OK,Stress Test 1-273,text,true,,1047,843,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a332eaf700137a50c1,291,0,0
1741616287159,299,Delete Contact,200,OK,Stress Test 1-274,text,true,,760,603,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a232eaf700137a50c0,299,0,0
1741616287148,322,Get User Profile,200,OK,Stress Test 1-275,text,true,,878,525,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,322,0,0
1741616287311,319,Patch Contact,200,OK,Stress Test 1-273,text,true,,1017,602,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a332eaf700137a50c1,319,0,0
1741616287459,369,Add User,201,Created,Stress Test 1-274,text,true,,1282,501,3,3,https://thinking-tester-contact-list.herokuapp.com/users,369,0,0
1741616287471,371,Update User,200,OK,Stress Test 1-275,text,true,,885,632,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,371,0,0
1741616287655,335,Delete Contact,200,OK,Stress Test 1-273,text,true,,760,603,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a332eaf700137a50c1,335,0,0
1741616287842,296,Add Contact,201,Created,Stress Test 1-275,text,true,,1009,807,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,296,0,0
1741616287829,387,Get User Profile,200,OK,Stress Test 1-274,text,true,,878,525,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,387,0,0
1741616288167,347,Get Contacts,200,OK,Stress Test 1-275,text,true,,1006,525,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,347,0,0
1741616288216,378,Update User,200,OK,Stress Test 1-274,text,true,,886,633,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,378,0,0
1741616288514,382,Update Contact,200,OK,Stress Test 1-275,text,true,,1046,834,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a453c0aa001392fd3d,382,0,0
1741616288595,457,Add Contact,201,Created,Stress Test 1-274,text,true,,1027,817,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,457,0,0
1741616287942,1246,Add User,201,Created,Stress Test 1-276,text,true,,1290,336,3,3,https://thinking-tester-contact-list.herokuapp.com/users,1246,0,781
1741616288896,510,Patch Contact,200,OK,Stress Test 1-275,text,true,,1015,602,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a453c0aa001392fd3d,510,0,0
1741616289189,278,Get User Profile,200,OK,Stress Test 1-276,text,true,,886,525,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,278,0,0
1741616289053,465,Get Contacts,200,OK,Stress Test 1-274,text,true,,1024,525,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,465,0,0
1741616289406,419,Delete Contact,200,OK,Stress Test 1-275,text,true,,760,603,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a453c0aa001392fd3d,419,0,0
1741616289467,445,Update User,200,OK,Stress Test 1-276,text,true,,888,635,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,445,0,0
1741616289519,433,Update Contact,200,OK,Stress Test 1-274,text,true,,1046,843,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a553c0aa001392fd3e,433,0,0
1741616289911,636,Add Contact,201,Created,Stress Test 1-276,text,true,,1012,813,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts,636,0,0
1741616289827,720,Add User,201,Created,Stress Test 1-275,text,true,,1282,501,4,4,https://thinking-tester-contact-list.herokuapp.com/users,720,0,0
1741616289952,596,Patch Contact,200,OK,Stress Test 1-274,text,true,,1016,602,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a553c0aa001392fd3e,596,0,0
1741616290548,406,Get User Profile,200,OK,Stress Test 1-275,text,true,,874,525,4,4,https://thinking-tester-contact-list.herokuapp.com/users/me,406,0,0
1741616290548,406,Delete Contact,200,OK,Stress Test 1-274,text,true,,756,603,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a553c0aa001392fd3e,406,0,0
1741616290548,406,Get Contacts,200,OK,Stress Test 1-276,text,true,,1005,525,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts,406,0,0
1741616290954,451,Update Contact,200,OK,Stress Test 1-276,text,true,,1034,837,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a653c0aa001392fd3f,451,0,0
1741616289940,1465,Add User,201,Created,Stress Test 1-277,text,true,,1278,336,3,3,https://thinking-tester-contact-list.herokuapp.com/users,1465,0,1013
1741616290954,665,Update User,200,OK,Stress Test 1-275,text,true,,881,632,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,665,0,0
1741616291406,513,Get User Profile,200,OK,Stress Test 1-277,text,true,,874,525,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,513,0,0
1741616291406,870,Patch Contact,200,OK,Stress Test 1-276,text,true,,1003,602,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef4a653c0aa001392fd3f,870,0,0
